object_name_ua,Persons,object_name_en,oblast,raion,settlement_type,settlement_name,key,hromada_name,hromada_code
смт Гірне,37,stlmt Hirne,Луганська,Луганський,селище міського типу,Гірне,Луганська Луганський селище міського типу Гірне,Молодогвардійська,UA44060050000028333
смт Катеринівка,16311,stlmt Katerynivka,Луганська,Луганський,селище міського типу,Катеринівка,Луганська Луганський селище міського типу Катеринівка,Луганська,UA44060010000059164
смт Марія,1032,stlmt Mariia,Луганська,Луганський,селище міського типу,Марія,Луганська Луганський селище міського типу Марія,Лутугинська,UA44060030000019360
смт Мирне,362,stlmt Myrne,Луганська,Луганський,селище міського типу,Мирне,Луганська Луганський селище міського типу Мирне,Молодогвардійська,UA44060050000028333
смт Новоолександрівка,1527,stlmt Novooleksandrivka,Луганська,Луганський,селище міського типу,Новоолександрівка,Луганська Луганський селище міського типу Новоолександрівка,Молодогвардійська,UA44060050000028333
смт Новосвітлівка,3648,stlmt Novosvitlivka,Луганська,Луганський,селище міського типу,Новосвітлівка,Луганська Луганський селище міського типу Новосвітлівка,Молодогвардійська,UA44060050000028333
смт Сімейкине,2208,stlmt Simeikyne,Луганська,Луганський,селище міського типу,Сімейкине,Луганська Луганський селище міського типу Сімейкине,Молодогвардійська,UA44060050000028333
смт Талове,1367,stlmt Talove,Луганська,Луганський,селище міського типу,Талове,Луганська Луганський селище міського типу Талове,Молодогвардійська,UA44060050000028333
смт Успенка,8550,stlmt Uspenka,Луганська,Луганський,селище міського типу,Успенка,Луганська Луганський селище міського типу Успенка,Лутугинська,UA44060030000019360
смт Челюскінець,1091,stlmt Cheliuskinets,Луганська,Луганський,селище міського типу,Челюскінець,Луганська Луганський селище міського типу Челюскінець,Лутугинська,UA44060030000019360
м. Антрацит,52150,city Antratsyt,Луганська,Ровеньківський,місто,Антрацит,Луганська Ровеньківський місто Антрацит,Антрацитівська,UA44080010000030435
м. Боково-Хрустальне,11421,city Bokovo-Khrustalne,Луганська,Ровеньківський,місто,Боково-Хрустальне,Луганська Ровеньківський місто Боково-Хрустальне,Хрустальненська,UA44080050000055882
м. Міусинськ,4596,city Miusynsk,Луганська,Ровеньківський,місто,Міусинськ,Луганська Ровеньківський місто Міусинськ,Хрустальненська,UA44080050000055882
м. Петрово-Красносілля,12642,city Petrovo-Krasnosillia,Луганська,Ровеньківський,місто,Петрово-Красносілля,Луганська Ровеньківський місто Петрово-Красносілля,Хрустальненська,UA44080050000055882
м. Ровеньки,45514,city Rovenky,Луганська,Ровеньківський,місто,Ровеньки,Луганська Ровеньківський місто Ровеньки,Ровеньківська,UA44080030000048115
м. Хрустальний,79533,city Khrustalnyi,Луганська,Ровеньківський,місто,Хрустальний,Луганська Ровеньківський місто Хрустальний,Хрустальненська,UA44080050000055882
смт Боково-Платове,2605,stlmt Bokovo-Platove,Луганська,Ровеньківський,селище міського типу,Боково-Платове,Луганська Ровеньківський селище міського типу Боково-Платове,Антрацитівська,UA44080010000030435
смт Верхній Нагольчик,1706,stlmt Verkhnii Naholchyk,Луганська,Ровеньківський,селище міського типу,Верхній Нагольчик,Луганська Ровеньківський селище міського типу Верхній Нагольчик,Антрацитівська,UA44080010000030435
смт Гірник,769,stlmt Hirnyk,Луганська,Ровеньківський,селище міського типу,Гірник,Луганська Ровеньківський селище міського типу Гірник,Ровеньківська,UA44080030000048115
смт Грушове,830,stlmt Hrushove,Луганська,Ровеньківський,селище міського типу,Грушове,Луганська Ровеньківський селище міського типу Грушове,Хрустальненська,UA44080050000055882
смт Дубівський,3881,stlmt Dubivskyi,Луганська,Ровеньківський,селище міського типу,Дубівський,Луганська Ровеньківський селище міського типу Дубівський,Антрацитівська,UA44080010000030435
смт Єсаулівка,1412,stlmt Yesaulivka,Луганська,Ровеньківський,селище міського типу,Єсаулівка,Луганська Ровеньківський селище міського типу Єсаулівка,Антрацитівська,UA44080010000030435
смт Запоріжжя,843,stlmt Zaporizhzhia,Луганська,Ровеньківський,селище міського типу,Запоріжжя,Луганська Ровеньківський селище міського типу Запоріжжя,Хрустальненська,UA44080050000055882
смт Іванівка,7038,stlmt Ivanivka,Луганська,Ровеньківський,селище міського типу,Іванівка,Луганська Ровеньківський селище міського типу Іванівка,Хрустальненська,UA44080050000055882
смт Кам’яне,2658,stlmt Kamiane,Луганська,Ровеньківський,селище міського типу,Кам’яне,Луганська Ровеньківський селище міського типу Кам’яне,Антрацитівська,UA44080010000030435
смт Картушине,1550,stlmt Kartushyne,Луганська,Ровеньківський,селище міського типу,Картушине,Луганська Ровеньківський селище міського типу Картушине,Ровеньківська,UA44080030000048115
смт Княгинівка,816,stlmt Kniahynivka,Луганська,Ровеньківський,селище міського типу,Княгинівка,Луганська Ровеньківський селище міського типу Княгинівка,Хрустальненська,UA44080050000055882
смт Красний Кут,2400,stlmt Krasnyi Kut,Луганська,Ровеньківський,селище міського типу,Красний Кут,Луганська Ровеньківський селище міського типу Красний Кут,Хрустальненська,UA44080050000055882
смт Кріпенський,6713,stlmt Kripenskyi,Луганська,Ровеньківський,селище міського типу,Кріпенський,Луганська Ровеньківський селище міського типу Кріпенський,Антрацитівська,UA44080010000030435
смт Любимівка,8578,stlmt Liubymivka,Луганська,Ровеньківський,селище міського типу,Любимівка,Луганська Ровеньківський селище міського типу Любимівка,Ровеньківська,UA44080030000048115
смт Маломиколаївка,1642,stlmt Malomykolaivka,Луганська,Ровеньківський,селище міського типу,Маломиколаївка,Луганська Ровеньківський селище міського типу Маломиколаївка,Хрустальненська,UA44080050000055882
смт Михайлівка,2765,stlmt Mykhailivka,Луганська,Ровеньківський,селище міського типу,Михайлівка,Луганська Ровеньківський селище міського типу Михайлівка,Ровеньківська,UA44080030000048115
смт Нижній Нагольчик,1626,stlmt Nyzhnii Naholchyk,Луганська,Ровеньківський,селище міського типу,Нижній Нагольчик,Луганська Ровеньківський селище міського типу Нижній Нагольчик,Антрацитівська,UA44080010000030435
смт Садово-Хрустальненський,571,stlmt Sadovo-Khrustalnenskyi,Луганська,Ровеньківський,селище міського типу,Садово-Хрустальненський,Луганська Ровеньківський селище міського типу Садово-Хрустальненський,Хрустальненська,UA44080050000055882
смт Софіївський,3828,stlmt Sofiivskyi,Луганська,Ровеньківський,селище міського типу,Софіївський,Луганська Ровеньківський селище міського типу Софіївський,Хрустальненська,UA44080050000055882
смт Тацине,251,stlmt Tatsyne,Луганська,Ровеньківський,селище міського типу,Тацине,Луганська Ровеньківський селище міського типу Тацине,Ровеньківська,UA44080030000048115
смт Фащівка,2245,stlmt Fashchivka,Луганська,Ровеньківський,селище міського типу,Фащівка,Луганська Ровеньківський селище міського типу Фащівка,Хрустальненська,UA44080050000055882
смт Федорівка,413,stlmt Fedorivka,Луганська,Ровеньківський,селище міського типу,Федорівка,Луганська Ровеньківський селище міського типу Федорівка,Хрустальненська,UA44080050000055882
смт Хрустальне,1339,stlmt Khrustalne,Луганська,Ровеньківський,селище міського типу,Хрустальне,Луганська Ровеньківський селище міського типу Хрустальне,Хрустальненська,UA44080050000055882
смт Штерівка,1216,stlmt Shterivka,Луганська,Ровеньківський,селище міського типу,Штерівка,Луганська Ровеньківський селище міського типу Штерівка,Хрустальненська,UA44080050000055882
смт Щотове,3535,stlmt Shchotove,Луганська,Ровеньківський,селище міського типу,Щотове,Луганська Ровеньківський селище міського типу Щотове,Антрацитівська,UA44080010000030435
смт Ясенівський,8943,stlmt Yasenivskyi,Луганська,Ровеньківський,селище міського типу,Ясенівський,Луганська Ровеньківський селище міського типу Ясенівський,Антрацитівська,UA44080010000030435
м. Сватове,16145,city Svatove,Луганська,Сватівський,місто,Сватове,Луганська Сватівський місто Сватове,Сватівська,UA44100110000061602
смт Білокуракине,6349,stlmt Bilokurakyne,Луганська,Сватівський,селище міського типу,Білокуракине,Луганська Сватівський селище міського типу Білокуракине,Білокуракинська,UA44100010000048313
смт Красноріченське,3755,stlmt Krasnorichenske,Луганська,Сватівський,селище міського типу,Красноріченське,Луганська Сватівський селище міського типу Красноріченське,Красноріченська,UA44100050000027880
смт Лозно-Олександрівка,829,stlmt Lozno-Oleksandrivka,Луганська,Сватівський,селище міського типу,Лозно-Олександрівка,Луганська Сватівський селище міського типу Лозно-Олександрівка,Лозно-Олександрівська,UA44100070000070448
смт Нижня Дуванка,1902,stlmt Nyzhnia Duvanka,Луганська,Сватівський,селище міського типу,Нижня Дуванка,Луганська Сватівський селище міського типу Нижня Дуванка,Нижньодуванська,UA44100090000087782
смт Троїцьке,7144,stlmt Troitske,Луганська,Сватівський,селище міського типу,Троїцьке,Луганська Сватівський селище міського типу Троїцьке,Троїцька,UA44100130000017965
м. Гірське,9100,city Hirske,Луганська,Сєвєродонецький,місто,Гірське,Луганська Сєвєродонецький місто Гірське,Гірська,UA44120010000044132
м. Золоте,13007,city Zolote,Луганська,Сєвєродонецький,місто,Золоте,Луганська Сєвєродонецький місто Золоте,Гірська,UA44120010000044132
м. Кремінна,18116,city Kreminna,Луганська,Сєвєродонецький,місто,Кремінна,Луганська Сєвєродонецький місто Кремінна,Кремінська,UA44120030000094047
м. Лисичанськ,93340,city Lysychansk,Луганська,Сєвєродонецький,місто,Лисичанськ,Луганська Сєвєродонецький місто Лисичанськ,Лисичанська,UA44120050000066819
м. Новодружеськ,6705,city Novodruzhesk,Луганська,Сєвєродонецький,місто,Новодружеськ,Луганська Сєвєродонецький місто Новодружеськ,Лисичанська,UA44120050000066819
м. Попасна,19199,city Popasna,Луганська,Сєвєродонецький,місто,Попасна,Луганська Сєвєродонецький місто Попасна,Попаснянська,UA44120070000073915
м. Привілля,6520,city Pryvillia,Луганська,Сєвєродонецький,місто,Привілля,Луганська Сєвєродонецький місто Привілля,Лисичанська,UA44120050000066819
м. Рубіжне,55247,city Rubizhne,Луганська,Сєвєродонецький,місто,Рубіжне,Луганська Сєвєродонецький місто Рубіжне,Рубіжанська,UA44120090000062828
м. Сєвєродонецьк,99067,city Sievierodonetsk,Луганська,Сєвєродонецький,місто,Сєвєродонецьк,Луганська Сєвєродонецький місто Сєвєродонецьк,Сєвєродонецька,UA44120110000010163
смт Білогорівка,808,stlmt Bilohorivka,Луганська,Сєвєродонецький,селище міського типу,Білогорівка,Луганська Сєвєродонецький селище міського типу Білогорівка,Лисичанська,UA44120050000066819
смт Борівське,5640,stlmt Borivske,Луганська,Сєвєродонецький,селище міського типу,Борівське,Луганська Сєвєродонецький селище міського типу Борівське,Сєвєродонецька,UA44120110000010163
смт Вовчоярівка,735,stlmt Vovchoiarivka,Луганська,Сєвєродонецький,селище міського типу,Вовчоярівка,Луганська Сєвєродонецький селище міського типу Вовчоярівка,Лисичанська,UA44120050000066819
смт Воронове,782,stlmt Voronove,Луганська,Сєвєродонецький,селище міського типу,Воронове,Луганська Сєвєродонецький селище міського типу Воронове,Сєвєродонецька,UA44120110000010163
смт Врубівка,866,stlmt Vrubivka,Луганська,Сєвєродонецький,селище міського типу,Врубівка,Луганська Сєвєродонецький селище міського типу Врубівка,Попаснянська,UA44120070000073915
смт Комишуваха,1958,stlmt Komyshuvakha,Луганська,Сєвєродонецький,селище міського типу,Комишуваха,Луганська Сєвєродонецький селище міського типу Комишуваха,Попаснянська,UA44120070000073915
смт Малорязанцеве,687,stlmt Maloriazantseve,Луганська,Сєвєродонецький,селище міського типу,Малорязанцеве,Луганська Сєвєродонецький селище міського типу Малорязанцеве,Лисичанська,UA44120050000066819
смт Метьолкіне,788,stlmt Metolkine,Луганська,Сєвєродонецький,селище міського типу,Метьолкіне,Луганська Сєвєродонецький селище міського типу Метьолкіне,Сєвєродонецька,UA44120110000010163
смт Мирна Долина,267,stlmt Myrna Dolyna,Луганська,Сєвєродонецький,селище міського типу,Мирна Долина,Луганська Сєвєродонецький селище міського типу Мирна Долина,Лисичанська,UA44120050000066819
смт Нижнє,2133,stlmt Nyzhnie,Луганська,Сєвєродонецький,селище міського типу,Нижнє,Луганська Сєвєродонецький селище міського типу Нижнє,Гірська,UA44120010000044132
смт Новотошківське,2119,stlmt Novotoshkivske,Луганська,Сєвєродонецький,селище міського типу,Новотошківське,Луганська Сєвєродонецький селище міського типу Новотошківське,Гірська,UA44120010000044132
смт Сиротине,1520,stlmt Syrotyne,Луганська,Сєвєродонецький,селище міського типу,Сиротине,Луганська Сєвєродонецький селище міського типу Сиротине,Сєвєродонецька,UA44120110000010163
смт Тошківка,3787,stlmt Toshkivka,Луганська,Сєвєродонецький,селище міського типу,Тошківка,Луганська Сєвєродонецький селище міського типу Тошківка,Гірська,UA44120010000044132
м. Старобільськ,15947,city Starobilsk,Луганська,Старобільський,місто,Старобільськ,Луганська Старобільський місто Старобільськ,Старобільська,UA44140110000056578
смт Біловодськ,7695,stlmt Bilovodsk,Луганська,Старобільський,селище міського типу,Біловодськ,Луганська Старобільський селище міського типу Біловодськ,Біловодська,UA44140010000036188
смт Білолуцьк,3695,stlmt Bilolutsk,Луганська,Старобільський,селище міського типу,Білолуцьк,Луганська Старобільський селище міського типу Білолуцьк,Білолуцька,UA44140030000070201
смт Марківка,5480,stlmt Markivka,Луганська,Старобільський,селище міського типу,Марківка,Луганська Старобільський селище міського типу Марківка,Марківська,UA44140050000026566
смт Мілове,5680,stlmt Milove,Луганська,Старобільський,селище міського типу,Мілове,Луганська Старобільський селище міського типу Мілове,Міловська,UA44140070000058445
смт Новопсков,9392,stlmt Novopskov,Луганська,Старобільський,селище міського типу,Новопсков,Луганська Старобільський селище міського типу Новопсков,Новопсковська,UA44140090000072167
м. Щастя,11411,city Shchastia,Луганська,Щастинський,місто,Щастя,Луганська Щастинський місто Щастя,Щастинська,UA44160090000075695
смт Новоайдар,7773,stlmt Novoaidar,Луганська,Щастинський,селище міського типу,Новоайдар,Луганська Щастинський селище міського типу Новоайдар,Новоайдарська,UA44160030000020916
смт Петропавлівка,4577,stlmt Petropavlivka,Луганська,Щастинський,селище міського типу,Петропавлівка,Луганська Щастинський селище міського типу Петропавлівка,Щастинська,UA44160090000075695
смт Станиця Луганська,12258,stlmt Stanytsia Luhanska,Луганська,Щастинський,селище міського типу,Станиця Луганська,Луганська Щастинський селище міського типу Станиця Луганська,Станично-Луганська,UA44160050000040019
м. Борислав,32473,city Boryslav,Львівська,Дрогобицький,місто,Борислав,Львівська Дрогобицький місто Борислав,Бориславська,UA46020010000073886
м. Дрогобич,73682,city Drohobych,Львівська,Дрогобицький,місто,Дрогобич,Львівська Дрогобицький місто Дрогобич,Дрогобицька,UA46020030000019252
м. Стебник,20200,city Stebnyk,Львівська,Дрогобицький,місто,Стебник,Львівська Дрогобицький місто Стебник,Дрогобицька,UA46020030000019252
м. Трускавець,28287,city Truskavets,Львівська,Дрогобицький,місто,Трускавець,Львівська Дрогобицький місто Трускавець,Трускавецька,UA46020090000057315
смт Меденичі,3292,stlmt Medenychi,Львівська,Дрогобицький,селище міського типу,Меденичі,Львівська Дрогобицький селище міського типу Меденичі,Меденицька,UA46020050000037271
смт Підбуж,3346,stlmt Pidbuzh,Львівська,Дрогобицький,селище міського типу,Підбуж,Львівська Дрогобицький селище міського типу Підбуж,Східницька,UA46020070000056149
смт Східниця,2250,stlmt Skhidnytsia,Львівська,Дрогобицький,селище міського типу,Східниця,Львівська Дрогобицький селище міського типу Східниця,Східницька,UA46020070000056149
м. Броди,23134,city Brody,Львівська,Золочівський,місто,Броди,Львівська Золочівський місто Броди,Бродівська,UA46040010000033885
м. Буськ,8662,city Busk,Львівська,Золочівський,місто,Буськ,Львівська Золочівський місто Буськ,Буська,UA46040030000058332
м. Золочів,23912,city Zolochiv,Львівська,Золочівський,місто,Золочів,Львівська Золочівський місто Золочів,Золочівська,UA46040070000032075
смт Красне,6308,stlmt Krasne,Львівська,Золочівський,селище міського типу,Красне,Львівська Золочівський селище міського типу Красне,Красненська,UA46040090000012087
смт Олесько,1418,stlmt Olesko,Львівська,Золочівський,селище міського типу,Олесько,Львівська Золочівський селище міського типу Олесько,Буська,UA46040030000058332
смт Підкамінь,1895,stlmt Pidkamin,Львівська,Золочівський,селище міського типу,Підкамінь,Львівська Золочівський селище міського типу Підкамінь,Підкамінська,UA46040110000093394
смт Поморяни,1272,stlmt Pomoriany,Львівська,Золочівський,селище міського типу,Поморяни,Львівська Золочівський селище міського типу Поморяни,Поморянська,UA46040130000035029
м. Бібрка,3761,city Bibrka,Львівська,Львівський,місто,Бібрка,Львівська Львівський місто Бібрка,Бібрська,UA46060010000049728
м. Винники,19037,city Vynnyky,Львівська,Львівський,місто,Винники,Львівська Львівський місто Винники,Львівська,UA46060250000025047
м. Глиняни,2954,city Hlyniany,Львівська,Львівський,місто,Глиняни,Львівська Львівський місто Глиняни,Глинянська,UA46060050000016451
м. Городок,16085,city Horodok,Львівська,Львівський,місто,Городок,Львівська Львівський місто Городок,Городоцька,UA46060070000047720
м. Дубляни,9748,city Dubliany,Львівська,Львівський,місто,Дубляни,Львівська Львівський місто Дубляни,Львівська,UA46060250000025047
м. Жовква,13852,city Zhovkva,Львівська,Львівський,місто,Жовква,Львівська Львівський місто Жовква,Жовківська,UA46060130000059055
м. Кам’янка-Бузька,10397,city Kamianka-Buzka,Львівська,Львівський,місто,Кам’янка-Бузька,Львівська Львівський місто Кам’янка-Бузька,Кам’янка-Бузька,UA46060190000038354
м. Комарно,3653,city Komarno,Львівська,Львівський,місто,Комарно,Львівська Львівський місто Комарно,Комарнівська,UA46060210000047788
м. Львів,717273,city Lviv,Львівська,Львівський,місто,Львів,Львівська Львівський місто Львів,Львівська,UA46060250000025047
м. Перемишляни,6415,city Peremyshliany,Львівська,Львівський,місто,Перемишляни,Львівська Львівський місто Перемишляни,Перемишлянська,UA46060330000065074
м. Пустомити,9372,city Pustomyty,Львівська,Львівський,місто,Пустомити,Львівська Львівський місто Пустомити,Пустомитівська,UA46060370000065608
м. Рава-Руська,8494,city Rava-Ruska,Львівська,Львівський,місто,Рава-Руська,Львівська Львівський місто Рава-Руська,Рава-Руська,UA46060390000035967
смт Брюховичі,6559,stlmt Briukhovychi,Львівська,Львівський,селище міського типу,Брюховичі,Львівська Львівський селище міського типу Брюховичі,Львівська,UA46060250000025047
смт Великий Любінь,4528,stlmt Velykyi Liubin,Львівська,Львівський,селище міського типу,Великий Любінь,Львівська Львівський селище міського типу Великий Любінь,Великолюбінська,UA46060030000020652
смт Запитів,2979,stlmt Zapytiv,Львівська,Львівський,селище міського типу,Запитів,Львівська Львівський селище міського типу Запитів,Новояричівська,UA46060290000052876
смт Куликів,4092,stlmt Kulykiv,Львівська,Львівський,селище міського типу,Куликів,Львівська Львівський селище міського типу Куликів,Куликівська,UA46060230000093092
смт Магерів,1959,stlmt Maheriv,Львівська,Львівський,селище міського типу,Магерів,Львівська Львівський селище міського типу Магерів,Добросинсько-Магерівська,UA46060110000011684
смт Новий Яричів,2955,stlmt Novyi Yarychiv,Львівська,Львівський,селище міського типу,Новий Яричів,Львівська Львівський селище міського типу Новий Яричів,Новояричівська,UA46060290000052876
смт Нові Стрілища,774,stlmt Novi Strilyshcha,Львівська,Львівський,селище міського типу,Нові Стрілища,Львівська Львівський селище міського типу Нові Стрілища,Бібрська,UA46060010000049728
смт Рудне,7502,stlmt Rudne,Львівська,Львівський,селище міського типу,Рудне,Львівська Львівський селище міського типу Рудне,Львівська,UA46060250000025047
смт Щирець,5659,stlmt Shchyrets,Львівська,Львівський,селище міського типу,Щирець,Львівська Львівський селище міського типу Щирець,Щирецька,UA46060450000037997
м. Добромиль,4111,city Dobromyl,Львівська,Самбірський,місто,Добромиль,Львівська Самбірський місто Добромиль,Добромильська,UA46080050000015399
м. Новий Калинів,4243,city Novyi Kalyniv,Львівська,Самбірський,місто,Новий Калинів,Львівська Самбірський місто Новий Калинів,Новокалинівська,UA46080070000035761
м. Рудки,5230,city Rudky,Львівська,Самбірський,місто,Рудки,Львівська Самбірський місто Рудки,Рудківська,UA46080110000050484
м. Самбір,34152,city Sambir,Львівська,Самбірський,місто,Самбір,Львівська Самбірський місто Самбір,Самбірська,UA46080130000077112
м. Старий Самбір,6440,city Staryi Sambir,Львівська,Самбірський,місто,Старий Самбір,Львівська Самбірський місто Старий Самбір,Старосамбірська,UA46080150000050321
м. Турка,6925,city Turka,Львівська,Самбірський,місто,Турка,Львівська Самбірський місто Турка,Турківська,UA46080190000096121
м. Хирів,4104,city Khyriv,Львівська,Самбірський,місто,Хирів,Львівська Самбірський місто Хирів,Хирівська,UA46080210000051983
смт Бориня,1375,stlmt Borynia,Львівська,Самбірський,селище міського типу,Бориня,Львівська Самбірський селище міського типу Бориня,Боринська,UA46080030000048662
смт Дубляни,1647,stlmt Dubliany,Львівська,Самбірський,селище міського типу,Дубляни,Львівська Самбірський селище міського типу Дубляни,Новокалинівська,UA46080070000035761
смт Нижанковичі,1725,stlmt Nyzhankovychi,Львівська,Самбірський,селище міського типу,Нижанковичі,Львівська Самбірський селище міського типу Нижанковичі,Добромильська,UA46080050000015399
смт Стара Сіль,1074,stlmt Stara Sil,Львівська,Самбірський,селище міського типу,Стара Сіль,Львівська Самбірський селище міського типу Стара Сіль,Старосамбірська,UA46080150000050321
м. Жидачів,10353,city Zhydachiv,Львівська,Стрийський,місто,Жидачів,Львівська Стрийський місто Жидачів,Жидачівська,UA46100050000053848
м. Миколаїв,14498,city Mykolaiv,Львівська,Стрийський,місто,Миколаїв,Львівська Стрийський місто Миколаїв,Миколаївська,UA46100110000018989
м. Моршин,5562,city Morshyn,Львівська,Стрийський,місто,Моршин,Львівська Стрийський місто Моршин,Моршинська,UA46100130000048262
м. Новий Розділ,27841,city Novyi Rozdil,Львівська,Стрийський,місто,Новий Розділ,Львівська Стрийський місто Новий Розділ,Новороздільська,UA46100150000087495
м. Сколе,6054,city Skole,Львівська,Стрийський,місто,Сколе,Львівська Стрийський місто Сколе,Сколівська,UA46100190000081766
м. Стрий,59425,city Stryi,Львівська,Стрийський,місто,Стрий,Львівська Стрийський місто Стрий,Стрийська,UA46100230000047305
м. Ходорів,8954,city Khodoriv,Львівська,Стрийський,місто,Ходорів,Львівська Стрийський місто Ходорів,Ходорівська,UA46100270000094052
смт Верхнє Синьовидне,3271,stlmt Verkhnie Synovydne,Львівська,Стрийський,селище міського типу,Верхнє Синьовидне,Львівська Стрийський селище міського типу Верхнє Синьовидне,Сколівська,UA46100190000081766
смт Гніздичів,3983,stlmt Hnizdychiv,Львівська,Стрийський,селище міського типу,Гніздичів,Львівська Стрийський селище міського типу Гніздичів,Гніздичівська,UA46100010000066018
смт Дашава,2343,stlmt Dashava,Львівська,Стрийський,селище міського типу,Дашава,Львівська Стрийський селище міського типу Дашава,Стрийська,UA46100230000047305
смт Журавно,3302,stlmt Zhuravno,Львівська,Стрийський,селище міського типу,Журавно,Львівська Стрийський селище міського типу Журавно,Журавненська,UA46100070000076013
смт Розділ,2393,stlmt Rozdil,Львівська,Стрийський,селище міського типу,Розділ,Львівська Стрийський селище міського типу Розділ,Новороздільська,UA46100150000087495
смт Славське,3537,stlmt Slavske,Львівська,Стрийський,селище міського типу,Славське,Львівська Стрийський селище міського типу Славське,Славська,UA46100210000027970
м. Белз,2191,city Belz,Львівська,Червоноградський,місто,Белз,Львівська Червоноградський місто Белз,Белзька,UA46120010000054878
м. Великі Мости,6286,city Velyki Mosty,Львівська,Червоноградський,місто,Великі Мости,Львівська Червоноградський місто Великі Мости,Великомостівська,UA46120030000069375
м. Радехів,9680,city Radekhiv,Львівська,Червоноградський,місто,Радехів,Львівська Червоноградський місто Радехів,Радехівська,UA46120090000051307
м. Сокаль,20373,city Sokal,Львівська,Червоноградський,місто,Сокаль,Львівська Червоноградський місто Сокаль,Сокальська,UA46120110000062257
м. Соснівка,10712,city Sosnivka,Львівська,Червоноградський,місто,Соснівка,Львівська Червоноградський місто Соснівка,Червоноградська,UA46120130000026331
м. Угнів,939,city Uhniv,Львівська,Червоноградський,місто,Угнів,Львівська Червоноградський місто Угнів,Белзька,UA46120010000054878
м. Червоноград,64297,city Chervonohrad,Львівська,Червоноградський,місто,Червоноград,Львівська Червоноградський місто Червоноград,Червоноградська,UA46120130000026331
смт Гірник,2820,stlmt Hirnyk,Львівська,Червоноградський,селище міського типу,Гірник,Львівська Червоноградський селище міського типу Гірник,Червоноградська,UA46120130000026331
смт Добротвір,6339,stlmt Dobrotvir,Львівська,Червоноградський,селище міського типу,Добротвір,Львівська Червоноградський селище міського типу Добротвір,Добротвірська,UA46120050000027080
смт Жвирка,3612,stlmt Zhvyrka,Львівська,Червоноградський,селище міського типу,Жвирка,Львівська Червоноградський селище міського типу Жвирка,Сокальська,UA46120110000062257
смт Лопатин,3259,stlmt Lopatyn,Львівська,Червоноградський,селище міського типу,Лопатин,Львівська Червоноградський селище міського типу Лопатин,Лопатинська,UA46120070000071541
м. Мостиська,9103,city Mostyska,Львівська,Яворівський,місто,Мостиська,Львівська Яворівський місто Мостиська,Мостиська,UA46140030000023506
м. Новояворівськ,31366,city Novoiavorivsk,Львівська,Яворівський,місто,Новояворівськ,Львівська Яворівський місто Новояворівськ,Новояворівська,UA46140050000054478
м. Судова Вишня,6470,city Sudova Vyshnia,Львівська,Яворівський,місто,Судова Вишня,Львівська Яворівський місто Судова Вишня,Судововишнянська,UA46140070000010135
м. Яворів,12785,city Yavoriv,Львівська,Яворівський,місто,Яворів,Львівська Яворівський місто Яворів,Яворівська,UA46140110000063568
смт Івано-Франкове,6346,stlmt Ivano-Frankove,Львівська,Яворівський,селище міського типу,Івано-Франкове,Львівська Яворівський селище міського типу Івано-Франкове,Івано-Франківська,UA46140010000081849
смт Краковець,1154,stlmt Krakovets,Львівська,Яворівський,селище міського типу,Краковець,Львівська Яворівський селище міського типу Краковець,Яворівська,UA46140110000063568
смт Немирів,1953,stlmt Nemyriv,Львівська,Яворівський,селище міського типу,Немирів,Львівська Яворівський селище міського типу Немирів,Яворівська,UA46140110000063568
смт Шкло,5951,stlmt Shklo,Львівська,Яворівський,селище міського типу,Шкло,Львівська Яворівський селище міського типу Шкло,Новояворівська,UA46140050000054478
м. Баштанка,12180,city Bashtanka,Миколаївська,Баштанський,місто,Баштанка,Миколаївська Баштанський місто Баштанка,Баштанська,UA48020010000091496
м. Новий Буг,14782,city Novyi Buh,Миколаївська,Баштанський,місто,Новий Буг,Миколаївська Баштанський місто Новий Буг,Новобузька,UA48020150000051082
м. Снігурівка,12045,city Snihurivka,Миколаївська,Баштанський,місто,Снігурівка,Миколаївська Баштанський місто Снігурівка,Снігурівська,UA48020190000083597
смт Березнегувате,7259,stlmt Bereznehuvate,Миколаївська,Баштанський,селище міського типу,Березнегувате,Миколаївська Баштанський селище міського типу Березнегувате,Березнегуватська,UA48020030000061219
смт Казанка,6523,stlmt Kazanka,Миколаївська,Баштанський,селище міського типу,Казанка,Миколаївська Баштанський селище міського типу Казанка,Казанківська,UA48020130000080862
м. Вознесенськ,33442,city Voznesensk,Миколаївська,Вознесенський,місто,Вознесенськ,Миколаївська Вознесенський місто Вознесенськ,Вознесенська,UA48040070000056126
